É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2020/04/21 18:48:15

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá
îNåé,ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm)
,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ
1990/4,86.5,0,8,1,198.7,0,8,1,2,0,8,1,171.0,0,8,1,168.0,0,8,1,0,0,8,1,137.5,0,8,1,155.4,0,8,1,0,1,8,1,90.5,0,8,1,189.6,0,8,1,0,1,8,1,96.5,0,8,1,177.8,0,8,1,0,1,8,1,108.0,0,8,1,210.7,0,8,1,0,1,8,1,164.5,0,8,1,196.4,0,8,1,0,1,8,1
1990/5,25.0,0,8,1,221.0,0,8,1,0,1,8,1,52.5,0,8,1,218.0,0,8,1,0,1,8,1,120.5,0,8,1,174.6,0,8,1,0,1,8,1,85.5,0,8,1,194.4,0,8,1,0,1,8,1,144.0,0,8,1,171.5,0,5,1,0,1,8,1,156.5,0,8,1,218.3,0,8,1,0,1,8,1,184.5,0,8,1,215.0,0,8,1,0,1,8,1
1990/6,37.5,0,8,1,160.5,0,5,1,0,1,8,1,132.0,0,8,1,129.2,0,8,1,0,1,8,1,68.0,0,8,1,133.4,0,8,1,0,1,8,1,246.0,0,8,1,185.4,0,8,1,0,1,8,1,158.5,0,8,1,178.2,0,8,1,0,1,8,1,144.0,0,8,1,166.4,0,8,1,0,1,8,1,312.0,0,8,1,195.4,0,8,1,0,1,8,1
1990/7,48.5,0,8,1,206.9,0,8,1,0,1,8,1,102.0,0,8,1,102.4,0,8,1,0,1,8,1,51.0,0,8,1,143.8,0,8,1,0,1,8,1,138.5,0,8,1,246.6,0,8,1,0,1,8,1,188.5,0,8,1,191.1,0,8,1,0,1,8,1,209.5,0,8,1,173.0,0,8,1,0,1,8,1,144.0,0,8,1,231.1,0,8,1,0,1,8,1
1990/8,137.5,0,8,1,167.9,0,8,1,0,1,8,1,117.0,0,8,1,201.8,0,8,1,0,1,8,1,181.5,0,8,1,230.2,0,8,1,0,1,8,1,8.0,0,8,1,272.4,0,8,1,0,1,8,1,22.0,0,8,1,256.6,0,8,1,0,1,8,1,100.0,0,8,1,243.1,0,8,1,0,1,8,1,143.0,0,8,1,281.4,0,8,1,0,1,8,1
1990/9,123.5,0,8,1,162.8,0,8,1,0,1,8,1,260.0,0,8,1,115.1,0,8,1,0,1,8,1,287.0,0,8,1,140.2,0,8,1,0,1,8,1,129.5,0,8,1,152.0,0,8,1,0,1,8,1,454.0,0,8,1,142.6,0,8,1,0,1,8,1,516.0,0,8,1,130.9,0,5,1,0,1,8,1,298.0,0,8,1,128.6,0,5,1,0,1,8,1
1990/10,87.0,0,8,1,182.1,0,8,1,0,1,8,1,209.5,0,8,1,140.4,0,8,1,0,1,8,1,148.5,0,8,1,137.6,0,8,1,0,1,8,1,131.0,0,8,1,153.6,0,8,1,0,1,8,1,180.0,0,8,1,138.8,0,8,1,0,1,8,1,185.5,0,8,1,168.9,0,8,1,0,1,8,1,194.5,0,8,1,159.2,0,8,1,0,1,8,1
1990/11,73.0,0,8,1,90.8,0,8,1,15,0,8,1,162.5,0,8,1,126.3,0,8,1,0,1,8,1,234.0,0,8,1,166.9,0,8,1,0,1,8,1,67.0,0,8,1,147.7,0,8,1,0,1,8,1,148.5,0,8,1,165.9,0,8,1,0,1,8,1,150.5,0,8,1,189.4,0,8,1,0,1,8,1,99.5,0,8,1,163.6,0,8,1,0,1,8,1
1990/12,158.0,0,8,1,67.1,0,8,1,146,0,8,1,12.5,0,8,1,133.9,0,8,1,0,0,8,1,38.0,0,8,1,197.3,0,8,1,0,0,8,1,54.5,0,8,1,102.7,0,8,1,0,0,8,1,21.0,0,8,1,160.0,0,8,1,0,0,8,1,18.0,0,8,1,183.8,0,8,1,2,0,8,1,26.0,0,8,1,145.3,0,8,1,4,0,8,1
1991/1,182.0,0,8,1,83.0,0,8,1,250,0,8,1,6.0,0,8,1,153.1,0,8,1,9,0,8,1,55.0,0,8,1,210.6,0,8,1,0,0,8,1,39.5,0,8,1,113.1,0,8,1,0,0,8,1,39.5,0,8,1,139.6,0,8,1,0,0,8,1,44.0,0,8,1,183.4,0,8,1,4,0,8,1,48.5,0,8,1,122.2,0,8,1,0,0,8,1
1991/2,106.0,0,8,1,97.0,0,8,1,152,0,8,1,106.0,0,8,1,127.8,0,8,1,36,0,8,1,69.0,0,8,1,199.3,0,8,1,0,0,8,1,131.0,0,8,1,103.5,0,8,1,0,0,8,1,66.0,0,8,1,155.1,0,8,1,0,0,8,1,67.5,0,8,1,168.8,0,8,1,10,0,8,1,95.0,0,8,1,132.3,0,8,1,3,0,8,1
1991/3,60.5,0,8,1,120.6,0,8,1,74,0,8,1,68.0,0,8,1,164.1,0,8,1,17,0,8,1,164.0,0,8,1,115.8,0,8,1,0,1,8,1,158.0,0,8,1,129.5,0,8,1,0,1,8,1,144.5,0,8,1,120.4,0,8,1,0,0,8,1,182.0,0,8,1,161.6,0,8,1,0,0,8,1,199.0,0,8,1,142.8,0,8,1,2,0,8,1
1991/4,77.5,0,8,1,178.9,0,8,1,0,0,8,1,48.0,0,8,1,225.2,0,8,1,0,1,8,1,112.5,0,8,1,150.7,0,8,1,0,1,8,1,150.0,0,8,1,149.5,0,8,1,0,1,8,1,147.5,0,8,1,188.4,0,8,1,0,1,8,1,103.0,0,8,1,190.9,0,8,1,0,1,8,1,191.5,0,8,1,174.6,0,8,1,0,1,8,1
1991/5,23.0,0,8,1,253.7,0,8,1,0,0,8,1,46.0,0,8,1,205.8,0,8,1,0,0,8,1,61.0,0,8,1,204.0,0,8,1,0,1,8,1,180.0,0,8,1,130.9,0,8,1,0,1,8,1,104.0,0,8,1,146.2,0,8,1,0,1,8,1,99.5,0,8,1,182.5,0,8,1,0,1,8,1,108.5,0,8,1,138.1,0,8,1,0,1,8,1
1991/6,28.0,0,8,1,205.4,0,8,1,0,1,8,1,201.0,0,8,1,132.6,0,8,1,0,1,8,1,142.0,0,8,1,127.7,0,8,1,0,1,8,1,342.0,0,8,1,77.8,0,8,1,0,1,8,1,250.0,0,8,1,99.2,0,8,1,0,1,8,1,286.5,0,8,1,135.0,0,8,1,0,1,8,1,245.0,0,8,1,87.5,0,8,1,0,1,8,1
1991/7,76.5,0,8,1,139.8,0,8,1,0,1,8,1,288.0,0,8,1,81.9,0,8,1,0,1,8,1,72.0,0,8,1,136.4,0,8,1,0,1,8,1,460.0,0,8,1,132.3,0,8,1,0,1,8,1,153.0,0,8,1,169.8,0,8,1,0,1,8,1,256.5,0,8,1,127.8,0,8,1,0,1,8,1,462.5,0,8,1,133.6,0,8,1,0,1,8,1
1991/8,108.0,0,8,1,211.8,0,8,1,0,1,8,1,358.0,0,8,1,130.4,0,8,1,0,1,8,1,238.0,0,8,1,138.4,0,8,1,0,1,8,1,190.0,0,8,1,188.6,0,8,1,0,1,8,1,49.0,0,8,1,177.2,0,8,1,0,1,8,1,194.0,0,8,1,176.3,0,8,1,0,1,8,1,46.0,0,8,1,183.2,0,8,1,0,1,8,1
